1 download 13420
1 download 145912
1 download 20913
1 download 29930
1 download 31679
1 download 32291
1 download 32661
1 download 3515
1 download 37229
1 download 39492
1 download 60753
1 download 608064
1 testset 30110
1 testset 36767
1 testset 428828
2 taste_buddy 00710 2.000000
2 taste_buddy 00482 2.000000
2 taste_buddy 00713 2.000000
2 taste_buddy 00993 1.000000
2 taste_buddy 00949 1.000000
2 taste_buddy 00836 1.000000
2 taste_buddy 00319 1.000000
2 taste_buddy 00890 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00610 1.000000
2 taste_buddy 00973 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00703 1.000000
2 taste_buddy 00688 1.000000
2 taste_buddy 00535 1.000000
2 taste_buddy 00321 1.000000
2 taste_buddy 00543 1.000000
2 taste_buddy 00801 1.000000
2 taste_buddy 00685 1.000000
2 taste_buddy 00527 1.000000
