1 download 279021
1 download 289545
1 download 29830
1 download 30926
1 download 314561
1 download 331137
1 download 331192
1 download 34605
1 download 365345
1 download 374188
1 download 420881
1 download 47250
1 download 4780
1 download 48923
1 download 64161
1 download 89618
1 testset 200399
1 testset 228346
1 testset 30811
1 testset 340914
1 testset 352561
2 taste_buddy 00439 2.000000
2 taste_buddy 00763 2.000000
2 taste_buddy 00503 2.000000
2 taste_buddy 00842 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00351 1.000000
2 taste_buddy 00709 1.000000
2 taste_buddy 00318 1.000000
2 taste_buddy 00577 1.000000
2 taste_buddy 00983 1.000000
2 taste_buddy 00013 1.000000
2 taste_buddy 00232 1.000000
2 taste_buddy 00399 1.000000
2 taste_buddy 00495 1.000000
2 taste_buddy 00790 1.000000
2 taste_buddy 00871 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00429 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00743 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00241 1.000000
2 taste_buddy 00169 1.000000
2 taste_buddy 00121 1.000000
2 taste_buddy 00221 1.000000
2 taste_buddy 00009 1.000000
