1 download 141650
1 download 141651
1 download 141652
1 download 26054
1 download 40726
1 download 51510
1 download 55142
1 download 55623
1 testset 38900
1 testset 85779
2 taste_buddy 00271 2.000000
2 taste_buddy 00216 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00979 1.000000
2 taste_buddy 00447 1.000000
2 taste_buddy 00953 1.000000
2 taste_buddy 00839 1.000000
2 taste_buddy 00310 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00418 1.000000
2 taste_buddy 00107 1.000000
2 taste_buddy 00917 1.000000
2 taste_buddy 00914 1.000000
