1 download 123577
1 download 29392
1 download 30620
1 download 30723
1 download 32161
1 download 32316
1 download 32521
1 download 33078
1 download 33435
1 download 34828
1 download 42953
1 download 44564
1 download 54465
1 download 57786
1 download 5779
1 download 7211
1 download 79712
1 download 8774
1 download 92211
1 testset 30199
1 testset 30707
1 testset 31740
1 testset 40422
1 testset 49388
2 taste_buddy 00303 4.000000
2 taste_buddy 00956 4.000000
2 taste_buddy 00177 4.000000
2 taste_buddy 00363 4.000000
2 taste_buddy 00720 3.000000
2 taste_buddy 00256 3.000000
2 taste_buddy 00191 3.000000
2 taste_buddy 00163 3.000000
2 taste_buddy 00600 2.000000
2 taste_buddy 00151 2.000000
2 taste_buddy 00550 2.000000
2 taste_buddy 00497 2.000000
2 taste_buddy 00850 2.000000
2 taste_buddy 00426 2.000000
2 taste_buddy 00387 2.000000
2 taste_buddy 00430 2.000000
2 taste_buddy 00431 2.000000
2 taste_buddy 00664 2.000000
2 taste_buddy 00039 2.000000
2 taste_buddy 00037 2.000000
2 taste_buddy 00511 2.000000
2 taste_buddy 00462 2.000000
2 taste_buddy 00260 2.000000
2 taste_buddy 00945 2.000000
2 taste_buddy 00820 2.000000
2 taste_buddy 00575 2.000000
2 taste_buddy 00368 2.000000
2 taste_buddy 00933 2.000000
2 taste_buddy 00088 2.000000
2 taste_buddy 00653 2.000000
2 taste_buddy 00247 2.000000
2 taste_buddy 00003 2.000000
2 taste_buddy 00244 2.000000
2 taste_buddy 00164 2.000000
