1 download 126771
1 download 14227
1 download 165275
1 download 268345
1 download 29319
1 download 30169
1 download 30540
1 download 32721
1 download 33201
1 download 34109
1 download 37077
1 download 43914
1 download 473702
1 download 48197
1 download 49450
1 download 50015
1 download 5195
1 download 663651
1 download 665631
1 download 67077
1 download 68559
1 download 71004
1 download 71007
1 download 7186
1 download 7710
1 download 84355
1 download 89398
1 download 93400
1 download 96468
1 testset 222311
1 testset 29300
1 testset 30063
1 testset 30328
1 testset 30332
1 testset 34918
1 testset 56821
1 testset 93669
2 taste_buddy 00041 10.000000
2 taste_buddy 00705 9.000000
2 taste_buddy 00437 2.000000
2 taste_buddy 00150 2.000000
2 taste_buddy 00188 2.000000
2 taste_buddy 00571 2.000000
2 taste_buddy 00667 2.000000
2 taste_buddy 00463 2.000000
2 taste_buddy 00783 1.000000
2 taste_buddy 00966 1.000000
2 taste_buddy 00967 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00946 1.000000
2 taste_buddy 00829 1.000000
2 taste_buddy 00828 1.000000
2 taste_buddy 00724 1.000000
2 taste_buddy 00820 1.000000
2 taste_buddy 00887 1.000000
2 taste_buddy 00374 1.000000
2 taste_buddy 00768 1.000000
2 taste_buddy 00880 1.000000
2 taste_buddy 00764 1.000000
2 taste_buddy 00191 1.000000
2 taste_buddy 00455 1.000000
2 taste_buddy 00554 1.000000
2 taste_buddy 00137 1.000000
2 taste_buddy 00258 1.000000
2 taste_buddy 00382 1.000000
2 taste_buddy 00297 1.000000
2 taste_buddy 00832 1.000000
2 taste_buddy 00546 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00938 1.000000
2 taste_buddy 00525 1.000000
2 taste_buddy 00935 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00363 1.000000
2 taste_buddy 00548 1.000000
2 taste_buddy 00916 1.000000
2 taste_buddy 00141 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00203 1.000000
2 taste_buddy 00308 1.000000
2 taste_buddy 00309 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00563 1.000000
2 taste_buddy 00300 1.000000
2 taste_buddy 00048 1.000000
2 taste_buddy 00688 1.000000
2 taste_buddy 00122 1.000000
2 taste_buddy 00025 1.000000
2 taste_buddy 00100 1.000000
2 taste_buddy 00632 1.000000
