1 download 116961
1 download 123577
1 download 14108
1 download 21305
1 download 245611
1 download 32799
1 download 35404
1 download 586023
1 download 62186
1 download 66340
1 download 67604
1 download 68715
1 download 72353
1 download 76374
1 testset 114791
1 testset 114815
1 testset 116958
1 testset 34172
2 taste_buddy 00900 2.000000
2 taste_buddy 00413 2.000000
2 taste_buddy 00961 1.000000
2 taste_buddy 00431 1.000000
2 taste_buddy 00538 1.000000
2 taste_buddy 00807 1.000000
2 taste_buddy 00806 1.000000
2 taste_buddy 00512 1.000000
2 taste_buddy 00511 1.000000
2 taste_buddy 00199 1.000000
2 taste_buddy 00662 1.000000
2 taste_buddy 00256 1.000000
2 taste_buddy 00497 1.000000
2 taste_buddy 00252 1.000000
2 taste_buddy 00973 1.000000
2 taste_buddy 00795 1.000000
2 taste_buddy 00182 1.000000
2 taste_buddy 00287 1.000000
2 taste_buddy 00420 1.000000
2 taste_buddy 00060 1.000000
2 taste_buddy 00085 1.000000
2 taste_buddy 00710 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00247 1.000000
2 taste_buddy 00177 1.000000
2 taste_buddy 00045 1.000000
