1 download 102328
1 download 114441
1 download 165275
1 download 18143
1 download 187155
1 download 25516
1 download 268345
1 download 269400
1 download 27859
1 download 28212
1 download 31659
1 download 32800
1 download 32830
1 download 331362
1 download 35228
1 download 3666
1 download 48197
1 download 49450
1 download 50015
1 download 51991
1 download 55622
1 download 596890
1 download 7710
1 download 7901
1 download 84355
1 download 89398
1 download 94100
1 download 96468
1 testset 222311
1 testset 28020
1 testset 37235
1 testset 46585
1 testset 50685
1 testset 58362
1 testset 7654
2 taste_buddy 00564 9.000000
2 taste_buddy 00477 2.000000
2 taste_buddy 00961 2.000000
2 taste_buddy 00437 2.000000
2 taste_buddy 00606 2.000000
2 taste_buddy 00307 2.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00350 1.000000
2 taste_buddy 00645 1.000000
2 taste_buddy 00376 1.000000
2 taste_buddy 00820 1.000000
2 taste_buddy 00210 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00150 1.000000
2 taste_buddy 00096 1.000000
2 taste_buddy 00548 1.000000
2 taste_buddy 00571 1.000000
2 taste_buddy 00570 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00177 1.000000
2 taste_buddy 00215 1.000000
2 taste_buddy 00877 1.000000
2 taste_buddy 00541 1.000000
2 taste_buddy 00657 1.000000
2 taste_buddy 00427 1.000000
2 taste_buddy 00283 1.000000
2 taste_buddy 00549 1.000000
2 taste_buddy 00915 1.000000
2 taste_buddy 00507 1.000000
2 taste_buddy 00141 1.000000
2 taste_buddy 00468 1.000000
2 taste_buddy 00088 1.000000
2 taste_buddy 00586 1.000000
2 taste_buddy 00587 1.000000
2 taste_buddy 00778 1.000000
2 taste_buddy 00829 1.000000
2 taste_buddy 00125 1.000000
2 taste_buddy 00122 1.000000
2 taste_buddy 00260 1.000000
2 taste_buddy 00024 1.000000
2 taste_buddy 00041 1.000000
2 taste_buddy 00047 1.000000
