1 download 115589
1 download 126248
1 download 126249
1 download 126255
1 download 126262
1 download 126266
1 download 126267
1 download 127640
1 download 141651
1 download 150536
1 download 222017
1 download 29702
1 download 30113
1 download 33417
1 download 33420
1 download 353316
1 download 35513
1 download 41226
1 download 54195
1 download 59838
1 download 62388
1 download 72707
1 download 75392
1 download 85779
1 testset 106589
1 testset 117617
1 testset 126265
1 testset 141652
1 testset 147551
1 testset 44261
1 testset 85360
2 taste_buddy 00157 2.000000
2 taste_buddy 00272 2.000000
2 taste_buddy 00719 2.000000
2 taste_buddy 00484 2.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00944 1.000000
2 taste_buddy 00722 1.000000
2 taste_buddy 00472 1.000000
2 taste_buddy 00821 1.000000
2 taste_buddy 00510 1.000000
2 taste_buddy 00607 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00882 1.000000
2 taste_buddy 00575 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00178 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00271 1.000000
2 taste_buddy 00914 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00835 1.000000
2 taste_buddy 00850 1.000000
2 taste_buddy 00792 1.000000
2 taste_buddy 00342 1.000000
2 taste_buddy 00403 1.000000
2 taste_buddy 00918 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00812 1.000000
2 taste_buddy 00189 1.000000
2 taste_buddy 00738 1.000000
2 taste_buddy 00184 1.000000
2 taste_buddy 00201 1.000000
2 taste_buddy 00566 1.000000
2 taste_buddy 00779 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00341 1.000000
2 taste_buddy 00726 1.000000
2 taste_buddy 00486 1.000000
