1 download 131618
1 download 131623
1 download 142926
1 download 298433
1 download 30976
1 download 334734
1 download 335633
1 download 344092
1 download 348601
1 download 354560
1 download 37832
1 download 416183
1 download 464718
1 download 492962
1 download 493538
1 download 504871
1 download 505637
1 download 518470
1 download 524984
1 download 741425
1 testset 356606
1 testset 503800
1 testset 503801
1 testset 503802
1 testset 514302
2 taste_buddy 00912 3.000000
2 taste_buddy 00293 2.000000
2 taste_buddy 00830 2.000000
2 taste_buddy 00401 2.000000
2 taste_buddy 00347 2.000000
2 taste_buddy 00389 2.000000
2 taste_buddy 00962 1.000000
2 taste_buddy 00901 1.000000
2 taste_buddy 00790 1.000000
2 taste_buddy 00453 1.000000
2 taste_buddy 00646 1.000000
2 taste_buddy 00357 1.000000
2 taste_buddy 00726 1.000000
2 taste_buddy 00286 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00198 1.000000
2 taste_buddy 00881 1.000000
2 taste_buddy 00883 1.000000
2 taste_buddy 00214 1.000000
2 taste_buddy 00457 1.000000
2 taste_buddy 00197 1.000000
2 taste_buddy 00111 1.000000
2 taste_buddy 00014 1.000000
2 taste_buddy 00131 1.000000
2 taste_buddy 00116 1.000000
2 taste_buddy 00379 1.000000
2 taste_buddy 00051 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00211 1.000000
2 taste_buddy 00698 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00918 1.000000
2 taste_buddy 00936 1.000000
2 taste_buddy 00596 1.000000
2 taste_buddy 00280 1.000000
2 taste_buddy 00206 1.000000
2 taste_buddy 00756 1.000000
2 taste_buddy 00061 1.000000
2 taste_buddy 00589 1.000000
2 taste_buddy 00186 1.000000
2 taste_buddy 00674 1.000000
2 taste_buddy 00442 1.000000
2 taste_buddy 00481 1.000000
2 taste_buddy 00040 1.000000
2 taste_buddy 00008 1.000000
2 taste_buddy 00129 1.000000
