1 download 103898
1 download 115653
1 download 30301
1 download 34240
1 download 37906
1 download 37956
1 download 40624
1 download 42699
1 download 43736
1 download 46738
1 download 57902
1 download 76424
1 download 84512
1 download 88909
1 download 91362
1 download 91714
1 testset 30270
1 testset 41871
1 testset 58527
1 testset 77946
2 taste_buddy 00201 3.000000
2 taste_buddy 00184 2.000000
2 taste_buddy 00961 1.000000
2 taste_buddy 00486 1.000000
2 taste_buddy 00865 1.000000
2 taste_buddy 00943 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00646 1.000000
2 taste_buddy 00927 1.000000
2 taste_buddy 00389 1.000000
2 taste_buddy 00920 1.000000
2 taste_buddy 00824 1.000000
2 taste_buddy 00151 1.000000
2 taste_buddy 00127 1.000000
2 taste_buddy 00553 1.000000
2 taste_buddy 00980 1.000000
2 taste_buddy 00112 1.000000
2 taste_buddy 00012 1.000000
2 taste_buddy 00259 1.000000
2 taste_buddy 00393 1.000000
2 taste_buddy 00255 1.000000
2 taste_buddy 00054 1.000000
2 taste_buddy 00273 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00004 1.000000
2 taste_buddy 00870 1.000000
2 taste_buddy 00879 1.000000
2 taste_buddy 00873 1.000000
2 taste_buddy 00953 1.000000
2 taste_buddy 00875 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00651 1.000000
2 taste_buddy 00480 1.000000
2 taste_buddy 00346 1.000000
2 taste_buddy 00347 1.000000
2 taste_buddy 00543 1.000000
2 taste_buddy 00180 1.000000
2 taste_buddy 00447 1.000000
2 taste_buddy 00189 1.000000
2 taste_buddy 00720 1.000000
2 taste_buddy 00632 1.000000
2 taste_buddy 00775 1.000000
2 taste_buddy 00304 1.000000
2 taste_buddy 00590 1.000000
2 taste_buddy 00715 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00022 1.000000
2 taste_buddy 00278 1.000000
2 taste_buddy 00228 1.000000
2 taste_buddy 00162 1.000000
2 taste_buddy 00939 1.000000
2 taste_buddy 00248 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00046 1.000000
