1 download 112901
1 download 144958
1 download 180447
1 download 26186
1 download 29869
1 download 30156
1 download 30723
1 download 30976
1 download 31547
1 download 32027
1 download 34515
1 download 35908
1 download 37003
1 download 39947
1 download 63146
1 download 63156
1 download 69869
1 download 744
1 testset 128496
1 testset 30782
1 testset 31740
1 testset 32637
1 testset 34927
2 taste_buddy 00216 4.000000
2 taste_buddy 00344 4.000000
2 taste_buddy 00151 3.000000
2 taste_buddy 00853 3.000000
2 taste_buddy 00426 3.000000
2 taste_buddy 00457 3.000000
2 taste_buddy 00645 3.000000
2 taste_buddy 00769 3.000000
2 taste_buddy 00248 3.000000
2 taste_buddy 00654 2.000000
2 taste_buddy 00923 2.000000
2 taste_buddy 00602 2.000000
2 taste_buddy 00600 2.000000
2 taste_buddy 00014 2.000000
2 taste_buddy 00256 2.000000
2 taste_buddy 00363 2.000000
2 taste_buddy 00389 2.000000
2 taste_buddy 00903 2.000000
2 taste_buddy 00864 2.000000
2 taste_buddy 00098 2.000000
2 taste_buddy 00039 2.000000
2 taste_buddy 00444 2.000000
2 taste_buddy 00590 2.000000
2 taste_buddy 00598 2.000000
2 taste_buddy 00952 2.000000
2 taste_buddy 00715 2.000000
2 taste_buddy 00463 2.000000
2 taste_buddy 00462 2.000000
2 taste_buddy 00260 2.000000
2 taste_buddy 00005 2.000000
2 taste_buddy 00939 2.000000
2 taste_buddy 00934 2.000000
2 taste_buddy 00561 2.000000
2 taste_buddy 00481 2.000000
2 taste_buddy 00181 2.000000
