1 download 111988
1 download 166084
1 download 202601
1 download 230997
1 download 235760
1 download 285731
1 download 293312
1 download 296379
1 download 308605
1 download 321189
1 download 32437
1 download 45919
1 download 48266
1 download 55587
1 download 83961
1 testset 19386
1 testset 29467
1 testset 30634
1 testset 62981
2 taste_buddy 00203 2.000000
2 taste_buddy 00787 1.000000
2 taste_buddy 00790 1.000000
2 taste_buddy 00450 1.000000
2 taste_buddy 00357 1.000000
2 taste_buddy 00218 1.000000
2 taste_buddy 00602 1.000000
2 taste_buddy 00559 1.000000
2 taste_buddy 00553 1.000000
2 taste_buddy 00703 1.000000
2 taste_buddy 00661 1.000000
2 taste_buddy 00888 1.000000
2 taste_buddy 00159 1.000000
2 taste_buddy 00194 1.000000
2 taste_buddy 00258 1.000000
2 taste_buddy 00256 1.000000
2 taste_buddy 00495 1.000000
2 taste_buddy 00853 1.000000
2 taste_buddy 00696 1.000000
2 taste_buddy 00972 1.000000
2 taste_buddy 00872 1.000000
2 taste_buddy 00873 1.000000
2 taste_buddy 00953 1.000000
2 taste_buddy 00523 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00347 1.000000
2 taste_buddy 00586 1.000000
2 taste_buddy 00891 1.000000
2 taste_buddy 00461 1.000000
2 taste_buddy 00186 1.000000
2 taste_buddy 00575 1.000000
2 taste_buddy 00380 1.000000
2 taste_buddy 00105 1.000000
