1 download 29336
1 download 30353
1 download 32599
1 download 34001
1 download 34573
1 download 41827
1 download 43211
1 download 46738
1 download 55256
1 download 68022
1 download 83832
1 testset 107419
1 testset 30335
1 testset 47607
2 taste_buddy 00913 4.000000
2 taste_buddy 00201 2.000000
2 taste_buddy 00842 1.000000
2 taste_buddy 00945 1.000000
2 taste_buddy 00531 1.000000
2 taste_buddy 00685 1.000000
2 taste_buddy 00668 1.000000
2 taste_buddy 00740 1.000000
2 taste_buddy 00459 1.000000
2 taste_buddy 00703 1.000000
2 taste_buddy 00093 1.000000
2 taste_buddy 00136 1.000000
2 taste_buddy 00172 1.000000
2 taste_buddy 00054 1.000000
2 taste_buddy 00522 1.000000
2 taste_buddy 00527 1.000000
2 taste_buddy 00817 1.000000
2 taste_buddy 00754 1.000000
2 taste_buddy 00449 1.000000
2 taste_buddy 00569 1.000000
2 taste_buddy 00610 1.000000
2 taste_buddy 00303 1.000000
2 taste_buddy 00717 1.000000
2 taste_buddy 00613 1.000000
2 taste_buddy 00103 1.000000
