1 download 125288
1 download 134
1 download 29348
1 download 29869
1 download 29940
1 download 30105
1 download 32268
1 download 32514
1 download 32635
1 download 33110
1 download 33328
1 download 36816
1 download 40756
1 download 82258
1 testset 30334
1 testset 32893
1 testset 37179
1 testset 67268
2 taste_buddy 00248 6.000000
2 taste_buddy 00151 4.000000
2 taste_buddy 00531 4.000000
2 taste_buddy 00907 3.000000
2 taste_buddy 00980 3.000000
2 taste_buddy 00816 3.000000
2 taste_buddy 00462 3.000000
2 taste_buddy 00842 2.000000
2 taste_buddy 00720 2.000000
2 taste_buddy 00726 2.000000
2 taste_buddy 00923 2.000000
2 taste_buddy 00600 2.000000
2 taste_buddy 00303 2.000000
2 taste_buddy 00383 2.000000
2 taste_buddy 00029 2.000000
2 taste_buddy 00098 2.000000
2 taste_buddy 00333 2.000000
2 taste_buddy 00987 2.000000
2 taste_buddy 00207 2.000000
2 taste_buddy 00201 2.000000
2 taste_buddy 00040 2.000000
2 taste_buddy 00290 2.000000
2 taste_buddy 00515 2.000000
2 taste_buddy 00184 2.000000
2 taste_buddy 00347 2.000000
2 taste_buddy 00893 2.000000
2 taste_buddy 00891 2.000000
2 taste_buddy 00715 2.000000
2 taste_buddy 00176 2.000000
2 taste_buddy 00406 2.000000
2 taste_buddy 00934 2.000000
2 taste_buddy 00567 2.000000
2 taste_buddy 00086 2.000000
2 taste_buddy 00561 2.000000
