1 download 100686
1 download 141652
1 download 33417
1 download 38277
1 download 44261
1 download 57072
1 download 64592
1 download 74304
1 download 87861
1 testset 29471
1 testset 59838
1 testset 62597
2 taste_buddy 00980 2.000000
2 taste_buddy 00597 1.000000
2 taste_buddy 00608 1.000000
2 taste_buddy 00606 1.000000
2 taste_buddy 00882 1.000000
2 taste_buddy 00864 1.000000
2 taste_buddy 00699 1.000000
2 taste_buddy 00860 1.000000
2 taste_buddy 00271 1.000000
2 taste_buddy 00935 1.000000
2 taste_buddy 00418 1.000000
2 taste_buddy 00491 1.000000
2 taste_buddy 00619 1.000000
2 taste_buddy 00165 1.000000
