1 download 29891
1 download 29940
1 download 30201
1 download 31507
1 download 33328
1 download 33964
1 download 34001
1 download 34605
1 download 36459
1 download 39060
1 download 42413
1 download 57324
1 testset 30203
1 testset 33753
1 testset 35165
2 taste_buddy 00559 2.000000
2 taste_buddy 00151 2.000000
2 taste_buddy 00099 2.000000
2 taste_buddy 00995 2.000000
2 taste_buddy 00610 2.000000
2 taste_buddy 00907 2.000000
2 taste_buddy 00531 2.000000
2 taste_buddy 00333 2.000000
2 taste_buddy 00136 2.000000
2 taste_buddy 00201 2.000000
2 taste_buddy 00298 2.000000
2 taste_buddy 00191 2.000000
2 taste_buddy 00450 2.000000
2 taste_buddy 00462 2.000000
2 taste_buddy 00939 2.000000
2 taste_buddy 00243 2.000000
2 taste_buddy 00248 2.000000
