1 download 15881
1 download 29253
1 download 29467
1 download 30710
1 download 30723
1 download 311550
1 download 32807
1 download 33251
1 download 37340
1 download 43417
1 download 522895
1 download 546090
1 download 61943
1 download 70235
1 download 89857
1 download 93489
1 testset 339452
1 testset 43419
1 testset 79839
1 testset 87710
2 taste_buddy 00492 3.000000
2 taste_buddy 00720 2.000000
2 taste_buddy 00724 2.000000
2 taste_buddy 00923 2.000000
2 taste_buddy 00494 2.000000
2 taste_buddy 00028 2.000000
2 taste_buddy 00226 2.000000
2 taste_buddy 00901 2.000000
2 taste_buddy 00430 2.000000
2 taste_buddy 00098 2.000000
2 taste_buddy 00039 2.000000
2 taste_buddy 00037 2.000000
2 taste_buddy 00972 2.000000
2 taste_buddy 00202 2.000000
2 taste_buddy 00042 2.000000
2 taste_buddy 00969 2.000000
2 taste_buddy 00450 2.000000
2 taste_buddy 00111 2.000000
2 taste_buddy 00117 2.000000
2 taste_buddy 00955 2.000000
2 taste_buddy 00345 2.000000
2 taste_buddy 00658 2.000000
2 taste_buddy 00894 2.000000
2 taste_buddy 00696 2.000000
2 taste_buddy 00273 2.000000
2 taste_buddy 00939 2.000000
2 taste_buddy 00363 2.000000
2 taste_buddy 00243 2.000000
