1 download 128158
1 download 130978
1 download 152111
1 download 196122
1 download 2065
1 download 208497
1 download 231685
1 download 240392
1 download 279476
1 download 290308
1 download 296069
1 download 30543
1 download 307206
1 download 316439
1 download 334734
1 download 34513
1 download 36097
1 download 369043
1 download 37259
1 download 40584
1 download 41125
1 download 62136
1 download 92211
1 testset 177649
1 testset 224623
1 testset 241916
1 testset 253043
1 testset 30202
1 testset 30952
2 taste_buddy 00080 3.000000
2 taste_buddy 00399 3.000000
2 taste_buddy 00876 3.000000
2 taste_buddy 00734 3.000000
2 taste_buddy 00405 3.000000
2 taste_buddy 00897 2.000000
2 taste_buddy 00907 1.000000
2 taste_buddy 00932 1.000000
2 taste_buddy 00941 1.000000
2 taste_buddy 00412 1.000000
2 taste_buddy 00646 1.000000
2 taste_buddy 00379 1.000000
2 taste_buddy 00880 1.000000
2 taste_buddy 00553 1.000000
2 taste_buddy 00765 1.000000
2 taste_buddy 00700 1.000000
2 taste_buddy 00888 1.000000
2 taste_buddy 00598 1.000000
2 taste_buddy 00039 1.000000
2 taste_buddy 00132 1.000000
2 taste_buddy 00507 1.000000
2 taste_buddy 00278 1.000000
2 taste_buddy 00839 1.000000
2 taste_buddy 00340 1.000000
2 taste_buddy 00321 1.000000
2 taste_buddy 00894 1.000000
2 taste_buddy 00769 1.000000
2 taste_buddy 00719 1.000000
2 taste_buddy 00469 1.000000
2 taste_buddy 00100 1.000000
2 taste_buddy 00466 1.000000
2 taste_buddy 00045 1.000000
2 taste_buddy 00484 1.000000
2 taste_buddy 00165 1.000000
